,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
110,DE,2021,6,30,109744.0,1694.0,126718.0,2052236.0,1277375.0,1039175.0,565910.0,487131.0,0.0,878.0,33.0,878.0,69884.0,65060.0
111,DE,2021,7,31,111407.0,1833.0,128574.0,2115381.0,1339435.0,1090237.0,591094.0,513528.0,0.0,1663.0,139.0,1856.0,63145.0,26397.0
112,DE,2021,8,31,119852.0,1880.0,137566.0,2237426.0,1457035.0,1152144.0,624092.0,538656.0,0.0,8445.0,47.0,8992.0,122045.0,25128.0
113,DE,2021,9,30,132963.0,1954.0,151700.0,2407713.0,1556725.0,1202549.0,645849.0,561269.0,0.0,13111.0,74.0,14134.0,170287.0,22613.0
114,DE,2021,10,31,144198.0,2091.0,163681.0,2576729.0,1708865.0,1290723.0,670446.0,581584.0,51034.0,11235.0,137.0,11981.0,169016.0,20315.0
115,DE,2021,11,30,153190.0,2178.0,174691.0,2732028.0,1859875.0,1446819.0,711525.0,599832.0,140818.0,8992.0,87.0,11010.0,155299.0,18248.0
116,DE,2021,12,31,180366.0,2286.0,210323.0,2942569.0,1976495.0,1587750.0,747929.0,625661.0,216993.0,27176.0,108.0,35632.0,210541.0,25829.0
117,FL,2020,12,31,1319437.0,21672.0,1750486.0,15508485.0,889875.0,213031.0,0.0,0.0,0.0,1139071.0,19386.0,1540163.0,12565916.0,-625661.0
118,FL,2021,1,31,1717499.0,26478.0,2155889.0,18438752.0,3396350.0,1959626.0,0.0,0.0,0.0,398062.0,4806.0,405403.0,2930267.0,0.0
119,FL,2021,2,28,1905343.0,30851.0,2363854.0,20697157.0,6313355.0,5044420.0,3163425.0,0.0,0.0,187844.0,4373.0,207965.0,2258405.0,0.0
120,FL,2021,3,31,2053857.0,33424.0,2540646.0,22964433.0,13153105.0,9563326.0,6005354.0,3384591.0,0.0,148514.0,2573.0,176792.0,2267276.0,3384591.0
121,FL,2021,4,30,2229640.0,35160.0,2735083.0,25103254.0,20748875.0,15159919.0,8939454.0,6224705.0,0.0,175783.0,1736.0,194437.0,2138821.0,2840114.0
122,FL,2021,5,31,2316940.0,36773.0,2836627.0,26866938.0,23702095.0,18821195.0,10588627.0,8414427.0,0.0,87300.0,1613.0,101544.0,1763684.0,2189722.0
123,FL,2021,6,30,2325614.0,37877.0,2895628.0,28275156.0,24920045.0,21063050.0,11520560.0,9842541.0,0.0,8674.0,1104.0,59001.0,1408218.0,1428114.0
124,FL,2021,7,31,2586829.0,39079.0,3209346.0,30107761.0,26352985.0,22548575.0,12392995.0,10497212.0,0.0,261215.0,1202.0,313718.0,1832605.0,654671.0
125,FL,2021,8,31,3246584.0,44561.0,3912015.0,33252290.0,30261905.0,24897414.0,13705058.0,11383472.0,0.0,659755.0,5482.0,702669.0,3144529.0,886260.0
126,FL,2021,9,30,3566882.0,55009.0,4229179.0,35879180.0,32885835.0,26780337.0,14377111.0,12301042.0,0.0,320298.0,10448.0,317164.0,2626890.0,917570.0
127,FL,2021,10,31,3645073.0,59670.0,4325014.0,37895690.0,35515625.0,28594539.0,14846690.0,12832435.0,1294228.0,78191.0,4661.0,95835.0,2016510.0,531393.0
128,FL,2021,11,30,3687550.0,61548.0,4374570.0,39652824.0,38559025.0,30948643.0,15422450.0,13184332.0,2655035.0,42477.0,1878.0,49556.0,1757134.0,351897.0
129,FL,2021,12,31,4162522.0,62504.0,5040925.0,42533833.0,40637295.0,33736822.0,16024367.0,13620163.0,4315710.0,474972.0,956.0,666355.0,2881009.0,435831.0
130,GA,2020,12,31,644065.0,10588.0,562077.0,4795217.0,407425.0,75157.0,0.0,0.0,0.0,-3518457.0,-51916.0,-4478848.0,-37738616.0,-13620163.0
131,GA,2021,1,31,885249.0,13778.0,704524.0,5553898.0,1449800.0,906186.0,0.0,0.0,0.0,241184.0,3190.0,142447.0,758681.0,0.0
132,GA,2021,2,28,981844.0,16757.0,765408.0,6186164.0,2881145.0,2072451.0,1259837.0,0.0,0.0,96595.0,2979.0,60884.0,632266.0,0.0
133,GA,2021,3,31,1035186.0,18473.0,796405.0,6725518.0,5777435.0,3855859.0,2515040.0,1301323.0,0.0,53342.0,1716.0,30997.0,539354.0,1301323.0
134,GA,2021,4,30,1075835.0,19564.0,822160.0,7177703.0,9368775.0,6306091.0,3709017.0,2591190.0,0.0,40649.0,1091.0,25755.0,452185.0,1289867.0
135,GA,2021,5,31,1099169.0,20180.0,837221.0,7576029.0,10750095.0,7561722.0,4214135.0,3380780.0,0.0,23334.0,616.0,15061.0,398326.0,789590.0
136,GA,2021,6,30,1110094.0,20729.0,843656.0,7912292.0,11184635.0,8422803.0,4598121.0,3884556.0,0.0,10925.0,549.0,6435.0,336263.0,503776.0
137,GA,2021,7,31,1153494.0,20978.0,882000.0,8311055.0,11795685.0,8941174.0,4911568.0,4104779.0,0.0,43400.0,249.0,38344.0,398763.0,220223.0
138,GA,2021,8,31,1372605.0,22007.0,1076660.0,9214494.0,13206095.0,9718567.0,5400175.0,4376696.0,0.0,219111.0,1029.0,194660.0,903439.0,271917.0
139,GA,2021,9,30,1544381.0,25224.0,1209662.0,10112668.0,14475205.0,10673110.0,5828605.0,4823331.0,0.0,171776.0,3217.0,133002.0,898174.0,446635.0
140,GA,2021,10,31,1598021.0,28038.0,1247986.0,10772158.0,15815485.0,11481688.0,6041368.0,5116398.0,427719.0,53640.0,2814.0,38324.0,659490.0,293067.0
141,GA,2021,11,30,1629989.0,29387.0,1270397.0,11367295.0,17344405.0,12365170.0,6270058.0,5269572.0,939937.0,31968.0,1349.0,22411.0,595137.0,153174.0
142,GA,2021,12,31,1798497.0,30283.0,1480424.0,12115873.0,18321585.0,13372602.0,6515061.0,5430775.0,1529709.0,168508.0,896.0,210027.0,748578.0,161203.0
143,HI,2020,12,31,21459.0,286.0,25390.0,766830.0,0.0,0.0,0.0,0.0,0.0,-1777038.0,-29997.0,-1455034.0,-11349043.0,-5430775.0
144,HI,2021,1,31,25786.0,407.0,29833.0,909409.0,0.0,0.0,0.0,0.0,0.0,4327.0,121.0,4443.0,142579.0,0.0
145,HI,2021,2,28,27473.0,436.0,32033.0,1050727.0,0.0,0.0,0.0,0.0,0.0,1687.0,29.0,2200.0,141318.0,0.0
146,HI,2021,3,31,29779.0,460.0,34647.0,1212049.0,0.0,0.0,0.0,0.0,0.0,2306.0,24.0,2614.0,161322.0,0.0
147,HI,2021,4,30,32767.0,480.0,37556.0,1372056.0,0.0,0.0,0.0,0.0,0.0,2988.0,20.0,2909.0,160007.0,0.0
148,HI,2021,5,31,35035.0,497.0,39946.0,1538377.0,0.0,0.0,0.0,0.0,0.0,2268.0,17.0,2390.0,166321.0,0.0
149,HI,2021,6,30,36391.0,514.0,41578.0,1662029.0,0.0,0.0,0.0,0.0,0.0,1356.0,17.0,1632.0,123652.0,0.0
150,HI,2021,7,31,40643.0,534.0,47233.0,1783229.0,0.0,0.0,0.0,0.0,0.0,4252.0,20.0,5655.0,121200.0,0.0
151,HI,2021,8,31,61353.0,586.0,70453.0,2044667.0,0.0,0.0,0.0,0.0,0.0,20710.0,52.0,23220.0,261438.0,0.0
152,HI,2021,9,30,76784.0,779.0,86435.0,2277492.0,0.0,0.0,0.0,0.0,0.0,15431.0,193.0,15982.0,232825.0,0.0
153,HI,2021,10,31,81586.0,913.0,90512.0,2421291.0,0.0,0.0,0.0,0.0,0.0,4802.0,134.0,4077.0,143799.0,0.0
154,HI,2021,11,30,84760.0,1015.0,92952.0,2566457.0,0.0,0.0,0.0,0.0,0.0,3174.0,102.0,2440.0,145166.0,0.0
155,HI,2021,12,31,109576.0,1087.0,108519.0,2705097.0,0.0,0.0,0.0,0.0,0.0,24816.0,72.0,15567.0,138640.0,0.0
156,IA,2020,12,31,281712.0,3891.0,292017.0,2172605.0,132850.0,45589.0,0.0,0.0,0.0,172136.0,2804.0,183498.0,-532492.0,0.0
